Pittsburgh,Steelers,PIT,156,54,20,18,1,3,303
New England,Patriots,NE,151,47,25,11,1,5,225
Tampa Bay,Buccaneers,TB,139,47,12,16,0,6,449
San Francisco,49ers,SF,134,48,12,15,1,5,310
Minnesota,Vikings,MIN,126,48,17,14,2,2,303
Los Angeles,Rams,LAR,124,50,13,11,1,4,364
New Orleans,Saints,NO,123,51,13,10,1,3,341
Baltimore,Ravens,BAL,122,36,13,12,0,6,282
Kansas City,Chiefs,KC,115,45,16,7,0,3,308
Seattle,Seahawks,SEA,110,28,16,16,0,3,398
Indianapolis,Colts,IND,109,41,15,8,2,1,373
Tennessee,Titans,TEN,109,43,14,9,1,3,331
Carolina,Panthers,CAR,103,53,14,7,1,1,470
Philadelphia,Eagles,PHI,100,42,11,9,0,3,354
New York,Jets,NYJ,99,29,12,9,2,4,359
Buffalo,Bills,BUF,98,44,14,9,1,0,259
Jacksonville,Jaguars,JAX,97,47,10,9,0,2,397
Washington,Redskins,WAS,96,46,13,9,0,0,435
Green Bay,Packers,GB,91,41,17,8,0,0,313
Houston,Texans,HOU,87,31,12,10,0,2,385
Atlanta,Falcons,ATL,86,28,12,8,0,2,399
Cleveland,Browns,CLE,84,38,14,6,0,1,393
Chicago,Bears,CHI,82,32,10,9,0,1,298
Detroit,Lions,DET,82,28,7,11,0,1,423
New York,Giants,NYG,80,34,10,6,1,2,451
Denver,Broncos,DEN,80,40,10,7,0,1,316
Dallas,Cowboys,DAL,79,39,7,10,0,1,321
Arizona,Cardinals,ARI,74,40,7,10,0,0,442
Oakland,Raiders,LV,74,32,9,6,0,2,419
Cincinnati,Bengals,CIN,71,31,11,5,1,0,420
Miami,Dolphins,MIA,69,23,13,3,1,1,494
Los Angeles,Chargers,LAC,64,30,11,3,0,0,345
