Harrison,Butker,KC,16,147,34,38,89.5,45
Wil,Lutz,NO,16,144,32,36,88.9,48
Justin,Tucker,BAL,16,141,28,29,96.6,57
Zane,Gonzalez,NULL,16,127,31,35,88.6,34
Matt,Gay,TB,16,124,27,35,77.1,43
Dan,Bailey,NULL,16,121,27,29,93.1,40
Josh,Lambo,JAX,16,118,33,34,97.1,19
Chris,Boswell,PIT,16,115,29,31,93.5,28
Greg,Zuerlein,NULL,16,114,24,33,72.7,42
Matt,Prater,DET,16,113,26,31,83.9,35
Brandon,McManus,DEN,16,112,29,34,85.3,25
Robbie,Gould,SF,13,110,23,31,74.2,41
Jason,Myers,SEA,16,109,23,28,82.1,40
Mason,Crosby,GB,16,106,22,24,91.7,40
Joey,Slye,CAR,16,106,25,32,78.1,31
Randy,Bullock,CIN,16,105,27,31,87.1,24
Austin,Seibert,CLE,16,105,25,29,86.2,30
Jake,Elliott,PHI,16,101,22,26,84.6,35
Ka'imi,Fairbairn,HOU,16,100,20,25,80.0,40
Jason,Sanders,MIA,16,98,23,30,76.7,29
Steve,Hauschka,NULL,16,96,22,28,78.6,30
Dustin,Hopkins,WAS,16,96,25,30,83.3,21
Brett,Maher,NYJ,13,96,20,30,66.7,36
Eddy,Pineiro,CHI,16,96,23,28,82.1,27
Daniel,Carlson,LV,16,91,19,26,73.1,34
Younghoe,Koo,ATL,8,84,23,26,88.5,15
Sam,Ficken,NYJ,15,80,19,27,70.4,23
Chase,McLaughlin,IND,11,80,18,23,78.3,26
Adam,Vinatieri,NULL,12,73,17,25,68.0,22
Aldrick,Rosas,NYG,16,71,12,17,70.6,35
Mike,Badgley,NULL,8,58,13,16,81.3,19
Nick,Folk,NULL,7,54,14,17,82.4,12
Kai,Forbath,NULL,4,44,11,11,100.0,11
Matt,Bryant,NULL,8,41,9,14,64.3,14
Stephen,Gostkowski,NE,4,32,7,8,87.5,11
Ty,Long,LAC,4,30,7,9,77.8,9
Mike,Nugent,NULL,4,30,5,8,62.5,15
Ryan,Succop,NULL,6,27,1,6,16.7,24
Cairo,Santos,NULL,5,24,4,9,44.4,12
Cody,Parkey,NULL,3,14,3,3,100.0,5
Greg,Joseph,TEN,2,9,0,0,0.0,9
Kaare,Vedvik,BUF,1,0,0,1,0.0,0
