Lamar,Jackson,BAL,15,431.7,265,401,3127,36,1206,7
Jameis,Winston,NULL,16,367.4,380,626,5109,33,250,1
Dak,Prescott,DAL,16,361.8,388,596,4902,30,277,3
Deshaun,Watson,HOU,15,341.4,333,495,3852,26,413,7
Russell,Wilson,SEA,16,340.6,341,516,4110,31,342,3
Josh,Allen,JAX,16,308.6,271,461,3089,20,510,9
Kyler,Murray,ARI,16,307.3,349,542,3722,20,544,4
Matt,Ryan,ATL,15,303.3,408,616,4466,26,147,1
Carson,Wentz,PHI,16,299.9,388,607,4039,27,243,1
Patrick,Mahomes,KC,14,299,319,484,4031,26,218,2
Jared,Goff,LAR,16,289.6,394,626,4639,22,40,2
Aaron,Rodgers,GB,16,288.4,353,569,4002,26,183,1
Tom,Brady,TB,16,279.7,373,613,4057,24,34,3
Philip,Rivers,NULL,16,279.5,390,591,4615,23,29,0
Jimmy,Garoppolo,SF,16,279.3,329,476,3978,27,62,1
Baker,Mayfield,CLE,16,273.2,317,534,3827,22,141,3
Ryan,Fitzpatrick,MIA,15,269.5,311,502,3529,20,243,4
Derek,Carr,LV,16,266.4,361,513,4054,21,82,2
Kirk,Cousins,MIN,15,260.4,307,444,3603,26,63,1
Daniel,Jones,NYG,13,257,284,459,3027,24,279,2
Gardner,Minshew,JAX,14,249.2,285,470,3271,21,344,0
Ryan,Tannehill,TEN,12,240.2,201,286,2742,22,185,4
Jacoby,Brissett,IND,15,236.5,272,447,2942,18,228,4
Andy,Dalton,CIN,13,235,314,528,3493,16,73,4
Drew,Brees,NO,11,232.8,281,378,2979,27,-4,1
Mitchell,Trubisky,CHI,15,224.8,326,516,3138,17,193,2
Kyle,Allen,CAR,13,223.5,303,489,3322,17,106,2
Sam,Darnold,NYJ,13,215.2,273,441,3024,19,62,2
Matthew,Stafford,DET,8,182.6,187,291,2499,19,66,0
Mason,Rudolph,PIT,10,126.8,176,283,1765,13,42,0
Case,Keenum,NULL,10,119.5,160,247,1707,11,12,1
Joe,Flacco,NULL,8,98.9,171,262,1822,6,20,0
Teddy,Bridgewater,NULL,9,94.5,133,196,1384,9,31,0
Dwayne,Haskins,WAS,9,92.7,119,203,1365,7,101,0
Marcus,Mariota,NULL,7,89,95,160,1203,7,129,0
Drew,Lock,DEN,5,76,100,156,1020,7,72,0
Devlin,Hodges,PIT,8,69.3,100,160,1063,5,68,0
Eli,Manning,NULL,4,66.4,91,147,1042,6,7,0
Jeff,Driskel,NULL,3,64.5,62,105,685,4,151,1
David,Blough,DET,5,58.5,94,174,984,4,31,0
Nick,Foles,CHI,4,43.7,77,117,736,3,23,0
Matt,Moore,NULL,6,42.3,59,91,659,4,-1,0
Brandon,Allen,DEN,3,36.5,39,84,515,3,39,0
Matt,Schaub,ATL,5,34.9,50,67,580,3,-3,0
Ryan,Finley,CIN,3,34.7,41,87,474,2,77,0
Brian,Hoyer,IND,4,31.1,35,65,372,4,2,0
Chase,Daniel,NULL,3,30,45,64,435,3,6,0
Josh,Rosen,MIA,5,28,58,109,567,1,13,0
Taysom,Hill,NO,16,23.8,3,6,55,0,156,1
Cam,Newton,CAR,2,22.7,50,89,572,0,-2,0
Robert,Griffin,BAL,6,20,23,38,225,1,70,0
AJ,McCarron,NULL,2,18.9,21,37,225,0,39,1
Luke,Falk,NULL,3,16.6,47,73,416,0,0,0
Ben,Roethlisberger,PIT,2,14.7,35,62,351,0,7,0
Matt,Barkley,BUF,2,14,27,51,359,0,-4,0
Will,Grier,CAR,2,11.3,28,52,228,0,22,0
Colt,McCoy,NYG,1,6.3,18,27,122,0,14,0
Mike,Glennon,NULL,2,6.2,6,10,56,1,0,0
Brett,Hundley,NULL,3,6.1,5,11,49,0,41,0
Tyrod,Taylor,LAC,3,6,4,6,33,1,7,0
Sean,Mannion,MIN,3,4.5,12,21,126,0,-5,0
Josh,McCown,NULL,2,0.8,3,5,24,0,-2,0
Ryan,Griffin,NYJ,2,0.6,2,4,18,0,-1,0
Jarrett,Stidham,NE,3,0.4,2,4,14,0,-2,0
Trevor,Siemian,NULL,1,0.1,3,6,3,0,0,0
Trace,McSorley,BAL,1,0.1,0,0,0,0,1,0
Alex,Tanney,NYG,1,0,1,1,1,0,0,0
David,Fales,NULL,1,0,0,0,0,0,0,0
Tim,Boyle,GB,3,-0.1,3,4,15,0,-7,0
Garrett,Gilbert,CLE,5,-0.3,0,3,0,0,-3,0
Nick,Mullens,SF,1,-0.3,0,0,0,0,-3,0
Blake,Bortles,NULL,2,-0.8,1,2,3,0,-9,0
